,,불만족,보통,만족,10점 평균
,전 체,9.3,52.5,38.1,5.78
성별,남성,9.2,52.6,38.2,5.77
,여성,9.4,52.5,38.1,5.78
연령별,10대,6.8,58.9,34.4,5.76
,20대,7.6,51.3,41.1,5.96
,30대,10.4,49.3,40.3,5.8
,40대,9.9,47.9,42.1,5.85
,50대,9.2,51.6,39.3,5.8
,60세 이상,9.8,58.4,31.8,5.57
학력별,중학교 이하,11.8,58.9,29.3,5.44
,고졸 이하,9.3,57.1,33.7,5.63
,대졸 이하,8.6,49.5,41.9,5.92
,대학원 이상,10.4,41,48.6,6.03
지역별,종로구,7.2,59.2,33.6,5.73
,중구,10.6,42.3,47.1,5.95
,용산구,11.5,56.5,31.9,5.52
,성동구,11.2,54.7,34.1,5.65
,광진구,10.7,46.3,43,5.86
,동대문구,12.9,53.5,33.6,5.57
,중랑구,9,56.1,35,5.67
,성북구,7.3,51.1,41.6,5.9
,강북구,11.4,56.5,32.2,5.52
,도봉구,6.7,57.2,36.1,5.76
,노원구,7.2,54.1,38.7,5.88
,은평구,11.1,58.8,30.1,5.48
,서대문구,8.1,51,40.9,5.9
,마포구,5.2,55.3,39.5,5.93
,양천구,8.8,45.9,45.3,5.98
,강서구,8.9,51.8,39.2,5.78
,구로구,15.7,50.2,34.1,5.5
,금천구,8.9,55.9,35.1,5.72
,영등포구,13.9,44.2,41.9,5.8
,동작구,7.6,59.3,33.1,5.69
,관악구,8.6,54,37.5,5.77
,서초구,4.9,53.4,41.8,5.99
,강남구,10.1,43.8,46.1,6.03
,송파구,9.4,49.6,41,5.85
,강동구,7.6,57.5,34.9,5.75
권역별,도심권,10,53.7,36.3,5.69
,동북권,9.3,53.6,37.1,5.74
,서북권,8.4,55.6,36,5.73
,서남권,10.2,51.5,38.3,5.76
,동남권,8.3,50.5,41.2,5.9
직업별,관리 전문직,9.6,47.2,43.2,5.93
,화이트 칼라,8.7,48.5,42.8,5.91
,블루 칼라,9.7,55.5,34.7,5.65
,기타,9.5,56,34.6,5.68
