,,불만족,보통,만족,10점 평균
,전 체,15.2,40,44.8,5.93
성별,남성,15.3,41,43.6,5.89
,여성,15,39,45.9,5.96
연령별,10대,11.9,52.4,35.6,5.75
,20대,16.9,42.7,40.3,5.73
,30대,15.7,37.5,46.8,5.98
,40대,13.8,35.4,50.8,6.19
,50대,14.7,37,48.3,6.06
,60세 이상,15.6,42.9,41.5,5.78
학력별,중학교 이하,16.7,44.5,38.8,5.64
,고졸 이하,15.6,43.9,40.5,5.76
,대졸 이하,14.8,38.1,47.1,6.03
,대학원 이상,12.5,25.4,62,6.63
지역별,종로구,9.2,56.6,34.2,5.79
,중구,16.2,30.5,53.2,6.15
,용산구,13,44,43,6.02
,성동구,14.8,40.8,44.4,5.98
,광진구,16.6,39.5,43.9,5.94
,동대문구,17.1,42.2,40.7,5.69
,중랑구,14.7,37.7,47.5,5.92
,성북구,13,42.4,44.6,5.89
,강북구,15,43.8,41.2,5.8
,도봉구,17.5,37,45.5,5.82
,노원구,14.2,38.9,46.9,5.99
,은평구,13.7,45.9,40.4,5.82
,서대문구,12.6,39,48.4,6.08
,마포구,14.4,43.2,42.4,5.86
,양천구,13.8,37.1,49.1,6.13
,강서구,17.4,38.7,43.8,5.87
,구로구,17,38.1,44.9,5.88
,금천구,22.3,36.2,41.5,5.54
,영등포구,15.8,44.6,39.6,5.69
,동작구,14.8,40,45.2,5.91
,관악구,16.7,39.4,43.9,5.77
,서초구,12.5,38,49.6,6.2
,강남구,13.8,33.1,53.2,6.34
,송파구,15.4,38.8,45.9,6.04
,강동구,16.3,42.5,41.2,5.88
권역별,도심권,12.7,44.3,43,5.98
,동북권,15.2,40.2,44.6,5.88
,서북권,13.6,43.2,43.2,5.9
,서남권,16.5,39.2,44.3,5.85
,동남권,14.6,37.9,47.5,6.11
직업별,관리 전문직,14.1,30.7,55.2,6.37
,화이트 칼라,14.8,40,45.2,5.95
,블루 칼라,17.2,43.2,39.7,5.69
,기타,14.6,40.9,44.4,5.92
