,,불만족,보통,만족,10점 평균,,
전체,,5.5,31.6,63.0,6.66,,
성별,남성,5.9,31.3,62.9,6.64,,
,여성,5.2,31.8,63.1,6.67,,
연령별,10대,6.7,37.6,55.7,6.44,,
,20대,6.6,33.1,60.2,6.60,,
,30대,6.5,35.8,57.7,6.47,,
,40대,6.2,32.8,61.1,6.58,,
,50대,5.2,31.2,63.6,6.65,,
,60대 이상,4.0,27.2,68.9,6.86,,
학력별,중학교 이하,3.8,26.0,70.2,6.91,,
,고졸 이하,5.9,31.0,63.0,6.63,,
,대졸 이하,5.8,33.9,60.4,6.57,,
,대학원 이상,5.2,29.8,65.0,6.79,,
지역별,종로구,5.3,49.3,45.4,6.12,,
,중구,6.0,21.5,72.5,7.08,,
,용산구,3.5,42.0,54.5,6.48,,
,성동구,5.1,26.9,68.0,6.80,,
,광진구,5.2,31.8,63.0,6.73,,
,동대문구,3.6,25.7,70.7,6.88,,
,중랑구,6.5,25.2,68.3,6.75,,
,성북구,2.7,30.5,66.7,6.72,,
,강북구,4.5,33.4,62.1,6.61,,
,도봉구,3.5,28.7,67.8,6.85,,
,노원구,5.1,34.6,60.3,6.68,,
,은평구,6.7,38.5,54.9,6.29,,
,서대문구,5.7,37.8,56.5,6.49,,
,마포구,7.6,34.6,57.7,6.43,,
,양천구,9.9,36.5,53.6,6.26,,
,강서구,4.9,33.9,61.2,6.52,,
,구로구,6.7,27.6,65.7,6.81,,
,금천구,5.8,28.9,65.3,6.67,,
,영등포구,8.6,30.2,61.2,6.65,,
,동작구,5.3,29.6,65.1,6.73,,
,관악구,5.6,32.6,61.8,6.68,,
,서초구,4.8,28.8,66.5,6.68,,
,강남구,3.2,26.8,70.0,7.00,,
,송파구,5.0,26.1,68.9,6.83,,
,강동구,6.1,36.1,57.7,6.46,,
권역별,도심권,4.7,38.7,56.5,6.53,,
,동북권,4.5,29.8,65.6,6.75,,
,서북권,6.7,37.1,56.2,6.39,,
,서남권,6.6,31.7,61.7,6.61,,
,동남권,4.7,28.8,66.5,6.77,,
직업별,관리전문직,6.1,33.0,60.9,6.65,,
,화이트칼라,5.8,32.4,61.8,6.59,,
,블루칼라,5.5,33.9,60.5,6.56,,
,기타,5.0,29.1,65.9,6.76,,
